speed;service;flavour;review
10;10;10;Gayet lezzetli.
10;10;10;Şimdiye kadar yediğim en lezzetli elmalı kurabiye ve tuzlu kurabiye. Elinize sağlık.
10;10;10;Magnolya fiyatına rağmen çok güzeldi. Elinize sağlık.
8;1;3;Kaşık neden göndermiyorsunuz ellemi yiyecegiz.
10;10;10;Patates güzeldi.
10;10;10;Teşekkür ederim muazzam bı tat tavsiye ederim.
1;1;1;Yiyecek almadım.
10;10;10;Teşekkür ederim muazzam bir tat şiddetle tavsiye ediyorum.
10;10;10;Ellerinize sağlık güzeldi ikram(ekler) için teşekkürler çok güzeldi...
10;10;10;Köri soslu tavuk çok hoşuma gitti herkese tavsiye ederim. Tatlılar içinde teşekkürler.
10;10;8;Körili tavuk söyledim. Porsiyonu çok boldu. Sıcak ve hızlı geldi. Ben körili tavuğu bol kremalı sevdiğim için de olabilir ama bana sosu az geldi. Patatesler sıcak ve lezzetliydi. İkram olarak gönderdikleri eklerler de güzeldi.
5;5;5;Puanını çok kırmak istemedim fakat hamburger hiç iyi değildi 55 dakikada geldi gözlerim ıslak mendil ve peçete aradı hak konusunda 1 1 1 aslında ama iyi niyetden dlayı bu puan.
1;1;1;Neredeyse 5 günlük hamburgeri ısıtıp göndermişler iki tane kola söyledim birtane göndermişler pişman oldum soyledime.
9;9;9;İyidir iyi.
10;9;10;Fiyat performans olarak super dolu dolu porsiyon lezzetli yemek elinize saglik.
8;8;6;Günün çorbası güzeldi ayriyetten mexico burger soyledim köftesi lezzetli olmakla beraber yazan icerikler icerisinde mevcut degildi dana jambon chedar vs yok sadece domates yesillik ve tursuyla geldi üzücüydü.
7;8;1;Gönderdiğiniz hamburgerle dalga geçiyorsunuz dedim. Donmuş ekmek. Pişmemiş köfte rezaletti. Meksika burgerle zaten alakası yok. Koyduğunuz 2 tane ikrak ekin hiçbir manası yok. O kadar yüksel puan gerçekten çok büyük hayal kırıklığına uğradım. Çok kötüydü hamburger. Ekmeğin donunu çözdeydiniz bari.
10;10;10;Körü soslu tavuğu lezzetli ve sıcacıktı. Sipariş hızlı geldi, ikram için de sağolun.
10;10;10;Mükemmel lezzet mükemmel hız.
10;10;10;Bogurtlenli pasta soyledik. İstedigim saatte geldi, notumu dikkate almislar. Pasta, dis kaplamasi cok lezzetli ve taptazeydi. Herkese tawsiye ediyorum. Elinize saglik bol kazanclar.
-;10;10;Humus ve mercimek köfte aldım. Hem porsiyon olarak çok cömertti hem de lezzeti harikaydı. Ayrıca minik kuru meyveler hediye gelmişti çok mutlu oldum. Ellerinize sağlık.
-;10;10;Şifa çorbası muazzamdi:)bir tabak daha olsa içerdim. Favorim ise anne mutfağından çıkmış harika muhteşem yaprak sarma! Humus ve falafel zaten artık imzanız özlemişim mutfağını beyhan aplam ellerine sağlık:-d bu kadar yemeğe göbek eriten çorbanı da listeye eklesen de yaza hazırlık seninle başlasa.
-;10;10;Vegan bayramlık kahvaltı harikaydı! Pişiler, muhammara, humus, zeytinler.. Hepsi çook lezzetli. Ellerinize sağlık.
-;10;10;Hem cok lezzetli hem cok saglikli, tek kelimeyle bayiliyorum!
-;2;2;Ne yazık ki kısır bozulmuştu, dolma mercimekli köfte de bozulmaya yüz tutmustu...
-;10;10;Her zaman lezzetli ve taze yemekler. Sağlıklı alternatifler arayanlar için ideal. Ellerinize sağlık!
-;5;3;Daha önce iki kere denedigim menüyü sipariş ettim lakin falafelin ve kısırın tadı oldukça acıydı.
-;10;10;Şerbet dedikleri sodaydı :).
-;10;10;Cok güzeldi keşke humus fazla olsaydı keşke.
-;10;10;Her şey çok lezzetli.
-;10;10;Muhteşem tazelik, şahane lezzet, harika fiyat.
-;10;10;Glutensiz menü söyledim her şey çok lezzetliydi.
-;10;1;Normalde cok sevmemize ragmen bu sefer hem kisir hem mercimek koftesinin rengi de tadi da berbatti. Bozulmaya yuz tutmus gibiydi.
-;10;10;Çok ama çok teşekkür ederim, çok lezzetliydi.
-;10;8;Açıkçası eve söylemem gerektiği zaman tercih ettiğim bir yer. Falafeli çok seviyorum ama kesinlikle daha az tuzlu olması gerektiğini düşünüyorum. Patatesler hep bir tık diri geliyor, güzel tadı ama. Hummus mükemmel. Mutlaka deneyin burayı.
-;10;9;Her şeyin tadı çok güzel, ellerinize sağlık. Fakat, biber dolması yerine mercimek köftesi geldi. Biber dolması olmadığının bilseydim, sipariş etmezdim.
-;10;10;Muazzam.
-;10;10;Baya lezzetli bi yemekti.
-;10;1;- puan olsaydı verirdim. Mercimek çorbası istedim başka bir çorba geldi hayatta yiyeyem.. Yemek desen apayrı aradım şikayetimi ilettim çok kibarlardı ama ücreti geri iade edeceğiz dediler etmediler... Hani 50 lira içinde kalkıp peşinizden koşacak halimiz yok ama bu yaptığınız ayıp bilin istedim.
-;10;10;Falafel dürümler de gelmiş menüye, eline sağlık beyhan hanım.
-;10;4;Bu dönemde yaşadığınız zorlukları bilmiyorum ve o nedenle olumsuz yorum yapmak hususunda içim rahat olmasa da mercimek köftesinin beklediği için kötü koktuğunu tahmin ettiğimi, genel manada önceki deneyimlerimize göre lezzet eksikliğini ve geceyi kötü bir mideyle geçirdiğimi yazmak istiyorum.
-;7;6;Cok tuzluydu yiyemedim..
-;10;10;Fiyat-performans olarak çok başarılı. Falafel dürüm oldukça doyurucu ve lezzetli. Öneririm.
-;7;4;İlk siparişimde obur vegan menüyü o kadar beğenmiştim ki bugün tekrar sipariş verdim fakat maalesef bu seferki hayalkırıklığı oldu. Falafeli yiyemedim çünkü nohutlar bütün kalmıştı hiç çekilmemiş gibi. Pancarlı kısırı çok sevmiştim ilkinde bu sefer pancarlı kısır yoktu içinde :(.
-;10;1;Mercimek köfteleri ekşimiş bozulmuştu. Mezeler lezzetli değildi. Yağ kalitesizdi. Sarmaların pirinçleri pişmemişti. Hiç memnun kalmadım tekrar sipariş vermeyeceğim. Kötü bir deneyim oldu.
-;10;10;Hem dengeli hem de saglikli beslenmemize yardim eden, asiri lezzetli alternatifler sunan guzel isletme.
-;10;7;Keşke notları dikkate alsanız.
-;10;10;Obur vegan menü söyledim, hepsinin tadı çok güzeldi ama pancarlı kısır muhteşemdi.
-;10;10;Mükemmelinde ötesi.
-;10;10;Muazzam lezzetliydi. Hmmm ellerinize sağlık!
10;10;10;Son 1 ayda en az 10 defa sipariş verdim. Yarım saati geçmeden, sıcacık servisiniz ile bizi şımartıyorsunuz. Ellerinize sağlık, bu şekilde devam edin lütfen.
8;8;9;Lezzet iyi,.
10;10;10;Herşey gayet lezzetli, teşekkürler.
1;1;8;Çiğ köfte içinde 1 tane var limon yok servis geç doyurucu değil ama tati güzel menü beklediğimiz gibi değildi.
10;3;10;Notlarada dikkat edilse ne güzel olucak be.
10;10;10;Verdiğin paranın hakkını alabileceğin işletmelerden biri, umarım hiç bozmazsınız. Herşey çok güzeldi.
10;8;8;İyiydi.
10;10;10;Aldığım hizmetten dolayı teşekkür ediyorum.
1;1;1;Kötü.
1;5;1;3kez güzel geldi son söylediğim adanalar oldukca kötü geldi.
10;10;5;Sabah kalktığımda midemi acayip rahatsız etti.
10;10;10;Her zamanki gibi çok güzeldi, ellerinize sağlık.
10;10;10;Mükemmel teşekkür ederim.
9;10;10;Uzun zamandır sipariş verdiğim yer lezzeti mukkemmel :) yanına verdiğiniz çiğköftelerden biraz daha istiyorum ustammm.
1;1;2;Adana istedim resmen isot getirdiniz tamam adana aci olurda sadece isot olmaz.
9;7;1;Ciğer durum yedim ne yağı varsa artık midem hayla kendinde değil.
2;3;3;Porsiyonlar çok ufaktı ve 1 saatte geldi.
9;9;7;1, 5 urfa dürüm söyledim, et tadını zor aldım. Paketleme güzel. Çorbası ve ekmeği lezzetliydi sadece.
7;1;1;Kuzu şiş söyledik çiğ ve lastik gibiydi kanatlar pişmemişti.
10;10;10;Çok iyi gerçekten.
1;1;1;Adana demeye bin şahit ister.
5;2;2;Puanın yüksek olduğuna aldanmayın çok kötü.
10;10;10;Mükemmeldi her şey.
10;10;10;Mercimek çorbası efsane iyi.
10;10;10;Her şey çok iyiydi, sadece lavaşın bir kısmı yanmış gibiydi yine de puan kırmadım, çünkü diğer her şey çok güzeldi.
10;2;10;Yemek lezzetli, servis çok zayıftı. Porsiyon adanın yanına tadımlık da olsa biraz ezme gönderilebilir.
10;10;10;Elinize sağlık.
10;5;8;Ciğer kavurma içinde pişmemiş soğanlar vardı. Ekstra soğan istemiyorsam yemeğimin içinde de çiğ soğan olmamalı. Mide rahatsızlığı yaşattı.
10;10;10;Karışık kebap siparişi vermiştim. Ürünler sıcak servis olarak zamanında gönderildi. Çiğ köfteleri lezzetli. Sadece çiğ köfte siparişi bile yapılabilir.
10;10;10;Sırf biz tatlı istedik diye dışardan tatlı alan utku beye çok teşekkür ediyorum.
10;10;10;Çoook beğendim.
10;10;10;Paket servisine gelen arkadaşa teşekkürler.. Sadece garnitürle doyarsın o kadar diyorum.
10;10;8;Her seyi cok iyiydi, sadece lavasi cok az ve bayatti.
8;8;8;Güzel hızlı temiz.
10;10;10;Yunus abi bu işi biliyor, herşey mükemmeldi elinize sağlık.
10;1;10;Lezzetli olabilir yanında malzemede süper ama uççeyrek ekmek arasına 4 köfte ayıp o yüzden servis 0.
10;10;10;Uzak olmasina rağmen hızlı geldi garnitürler harikaydı kanat çok güzel.
10;10;10;Süper ötesi.
5;3;3;Malesef bu sefer verdiğimiz siparişimizin lezzetini beğenmedik. Ayrıca verdiğimiz ayran siparişi unutulmuştu yemek bittikten sonra gelmeside sınır bozucuydu.
9;9;10;Fiyat performans çok iyi. Tuzlama gerçekten güzel tavsiye ederim.
10;10;10;Emeğinize sağlık tessekkurler.
9;9;8;Ayran istediğim halde unutulmuştu. Adana dürüm doyurucu lezzeti de idare ederdi.
10;10;10;Lezzet ve güzel ikramlardan dolayı teşekkürler. 20-30 dakika denilen süre 35-40 dk oldu benim için fakat sıcak ve lezzetliydi.
10;10;9;Kebap guzeldi ama kofte bi garip geldi servisede 10 uzeri puan verilebilse verirdim.
8;7;4;Bi adanalı olarak adana dürüm den gram memnun kalmadım. Marul fazlasıyla ezilmis pişmiş gibiydi. Mercimek çorbasını çok severim bitiremedim. Maalesef ikiside lezzetsizdi.
10;10;10;Adana çok lezzetli, paketleme de özenliydi elinize sağlık. 10/10/10.
10;10;10;Çok güzeldi getiren kurye arkadaş güler yüzlüydü teşekkürler. :))).
8;7;1;Çok ağır yağlı ve kötü kokuyor.
10;10;10;Herşey çok güzeldi porsiyon adana ve dürüm adana söyledik ustanın ellerine sağlık acısı tadı tuzu mükemmel di yanında ki garnitürler acılı ezmesi ve yogurtlu patlıcan enfesti.
10;10;10;Üstat ürünler gayet iyiydi ve 15 dakika da geldi. Uyarı olması amacıyla bir ızgara restoranında meze bitmez eksik geldiğini söylediğimizde kuryenizin yalan söylemesi kalmamıştır demesi hoş değil. Sizin emeğimizi bu hata nedeniyle kötü puanlamıyorum.
8;5;8;Sipariş ettiğim içeceği koymayı unutmuşlar. Lezzetliydi.
10;10;10; notlara dikkat ediliyor.
10;10;10;Hız çok iyidi getiren kurye abimiz çok güler yüzlü bir insandı ve paketleme çok güzeldi yanında gelen ikramlar çok iyiydi ve lezzet de güzeldi.
10;10;10;Et cöp şiş ve gavurdağı çok güzeldi teşekkürler.
10;3;6;Rica ederim dürümleri o kağıtlara sarmayın. Lavaştan kağıt ayıklayarak yedik. Etin lezzeti eh ama kağıt meselesi tat kaçırdı. İkramlar için çok teşekkürler, ayrıca tam vaktinde geldi.
9;9;9;Tavuk dürümünün lezzetini ve lokum gibi olmasıno tek geçerim yanında verdikleri ufak sos ve mezeleri bence biraz artırmalılar çünkü lezzetine doyum olmuyor.
9;7;8;1, 5 porsiyon çöp şişe 3 ufacık biber turşusu.
10;10;10;Çorbayı unuttular ama arayınca hemen geri gönderip üstüne künefe ikram ettiler. Lezzeti çok güzeldi, teşekkürler.
10;10;10;Çok güzel.
10;10;10;Teşekkürler.
10;10;10;Lezeete harika teşekkür ederim.
9;9;10;Philly steakler dağılmıştı ve setcard cihazları yok ama chicken burger 10 üzerinden 11 böyle bi lezzet yok.
10;10;10;Böyle bir lezzeti hiçbir restoranda görmedim çok iyiydi.
10;10;10;Double cheeseburger denemek için söyledim. Köftenin kalitesi ve lezzeti, hamburger ekmeğinin yumuşaklığı, içindeki cheddar peynirinin erimesine kadar hepsi mükemmeldi. Sosislilerini de denedim. Ürünleri gerçekten çok lezzetli.
10;10;10;Vazgeçilemez bir lezzetiniz var her siparişimde aynı lezzet.
10;10;10;Tarifi mümkün değil.
10;10;10;Çok lezzetli ve hızlı teşekkürler.
10;10;10;Coleslaw sevmiyorsanız bile buranınkini mutlaka deneyin.
10;10;10;Severek yiyoruz, böyle devam :).
10;10;10;Lezzetli.
10;10;10;Çok başarılı, ellerinize sağlık :).
10;10;10;Hızlezzet servis herşey süperdi.
10;10;10;Süperdi elinize saglık.
10;10;10;Çok teşekkürler çok iyiydi.
6;1;6;Beğendili köftenin yanında fırında patates gelmedi.
10;10;10;Gayet doyurucu ve lezettli.
10;10;10;Güzel tat, harika lezzet bravo 10 puan.
10;10;10;Ellerinize sağlık, çok lezzetliydi :).
10;10;10;Her şey mükemmel ötesiydi ellerinize sağlık.
10;10;10;Hızlı, sıcak ve lezzetli. Yapıyorsunuz bu işi yine memnunuz:).
10;10;10;Bayıldım! Harikaydı ellerinize sağlık.
10;10;10;Mükemmel lezzetli favorim.
10;10;10;Çok lezzetli ve sıcacıkdı çok hızlı getirdiler. Elinize sağlık.
10;10;10;Gayet güzel.
10;10;10;Her şey çok güzel ve lezzetliydi ellerinize sağlık kesinlikle tekrar sipariş vereceğim.
10;10;10;Çevredeki en iyilerden, yemekler çok hızlı geldi ve çok lezzetliydi. Teşekkür ederiz.
10;10;10;Cok iyiydi ellerinize saglık kuryeniz cok kibar biri.
10;10;10;Kilo aldık sayenizde :) ellerinize sağlık..
5;6;10;Güzel.
10;10;10;Merhaba, kurye haşim erdil cok güler yüzlü. Hızlı teslimat ve lezzetli.
10;8;10;Seriden yakışıklı karton torba... İlk görüşte aşk önemlidir...
10;8;8;Hızlılık konusunda çok iyisiniz biraz daha lezzet arttığı zaman çok güzel olacak elinize sağlık.
9;8;9;Harika.
10;10;10;Çok alıştık iş yerinde yemeye. Hızlı ve özenliler. Teslimde çok da yardımcılar.
10;8;6;Köfteler sanki dünden kalmış gibiydi.
10;10;10;Sürekli bu restorandan sipariş veriyorum. Çok memnunum, çok lezzetli ve her seferinde sıcacık geliyor. Kesinlikle herkese tavsiye ederim.
10;10;10;İkram için çok teşekkürler her zamanki gibi çok lezzetli bir siparişti :).
9;9;8;Tesekkurler.
10;10;9;Hasan paşa köfte ve brokoli çorbasını denedim çok güzeldi. Servis özenle paketlenmiş ve sıcaktı.
10;7;6;Daha iyi olabilirdi.
10;10;10;Beğendim.
10;10;10;Lezzet ve kalite bir arada indirimde yapiyolar tskler ağa türk mutfağı emeğine sağlık.
10;10;8;Salçalı makarna maalesef kurumuştu sıcaktan. Onun dışında başarılıydı.
10;10;5;Ekmeği parayla satıp üstüne bir de bayat göndermeniz hiç hoş değil.
10;10;10;Süperdi teşekkür ederim çok çabuk geldi.
1;1;1;Kötüydü beğenmedim.
7;7;7;Çoğu zaman bayat geliyor yemekler ve tatlılar.
10;10;8;Tebrikler çok hızlı geldi servis de güzel ama lezzet konusunda biraz daha iyi olabilir ayrıca ikram sütlaç güzel hareket.
10;10;10;İkram için teşekkürler gayet lezzetliydi.
9;8;9;Fesleğenli cok iyiydi.
3;8;7;Paketleriniz çok güzeldi ama karışık ızgara söyledim sadece tavuk ve köfte vardı karışık ızgara da 4-5 çeşit olması gerekiyor pirinç pilavı çok sert ve birbirine yapışık the.
10;10;10;Çok iyiydi, pilav az gelir diye ekstra pilav istedim.. (malum istanbulda her şeyi az gönderiyorlar) ama sizin her şey bolcaydı. Boşa istemişim ekstrayı. Elinize emeğinize sağlık. Bereketini görün.
8;8;7;Çorbanız gayet güzel karışık ızgara da ki köfte kokuyordu ve az pişmişti haricinde başarılı.
10;10;10;Her sipariş sonrası tatlı ikramı için teşekkür ederim.
10;10;10;Etli macar kebabına bayıldım. Tatlı ikramınız ve hızınız için ayrıca teşekkür ederim. :).
10;10;10;Yemekler leziz harika sunum servis çok iyi çokkkkkkkkkkkk başarılı.
10;10;10;1 ekmek eksik geldi, daha önceki siparişlerimde bugüne kadar herhangi bir sorun yaşamadım, buda nazarlık olsun herşeyiyle 10 puan.
8;6;6;Keşke biber ve domatesi biraz ızgarada tutsalar dı karışık ızgara söyledik ama biber ve domatesi ikiye kesip direk yollamışlardı,.
9;10;6;Maalesef lezzet kalitesi düşmüş. Hotdog sos eksikti, kıtır patatesler yanıktı çoğunlukla. İndirimli aldık diyeydi herhalde.
8;8;8;Malesef cok severek soyledigim cookie monster tatli bi tarafa dagilmis sekilde geldi akmis ve cheeseburgere bulasmisti malesef tatliyi keyifle yiyemedik.
10;10;10;Güzel lezzet. Patatesleri olağanüstü.
8;8;8;Standart dobbys.
10;10;7;Kolay gelsin.
8;10;8;Hamburgerler her zaman harika bitmesin istiyoruz ama kullanılan patateslerde bir sorun olabilir hemen yağ çekiyor ve kupkuru yenmiyor. Çok şık bir yer menü yok her şeyi ayrı söylüyorsunuz ve pahalı olmasına rağmen hep yiyoruz ancak patatese çözüm şart.
10;10;10;Harikasınızz.
10;10;10;Lezzetli hızlı.
10;10;10;The best burger in the town.
1;8;9;Hız sorununu çözmeniz lazım.
1;8;9;Yaklaşık 1, 5 saatte geldi, ayrıca çatallarınız sürekli kırılıyor.
10;10;5;Biraz fazla yağlıydı.
10;10;10;Hızlı ve güzeldi.
10;10;10;Kokoreç topları muazzam.
10;10;10;Hızlı ve sıcak geldi, çok lezzetliydi. Elinize sağlık, teşekkürler.
10;10;10;Tadı muthisti. Kurye cok hızlı geldi ve kibardı. Cok memnun kaldık. Hamburgeri etlerden dolayo yiyemediğim halde dobbys burger bu konuda cok basarılı ve hamburgerlerini severek yiyebiliyorum.
10;10;10;Çooook güzeldi tek kelimeyle harikasınız...
9;7;10;Kokoreç küpleri bildiğin başka bir yere götürürdü müthiş lezzetler.
10;10;10;Çok hızlı ve sıcacık geldi.
10;10;10;10 puani hatasız olamamaktan degil harika olmaktan kazanan bir restoran. Fiyat ve lezzet ilişkisi harika bir kusuru var o da pek doyurmuyor (burgerin boyutu tahmin ettiğimden kucuktu).
10;10;10;Kurye kardesime ayri tesekkur ederim.
10;10;10;Cheese burger harikaydı ama zeytin sosuna hayran kaldım. Muhteşemdi.
5;9;5;Siparişiniz yolda yazdıktan çok uzun süre sonra geldi yakın olmasına rağmen haliyle buz gibiydi ve yediğimden hiçbirşey anlamadım sıcak yeseydim belki fikrim farklı olabilirdi.
10;10;10;The best burger in the town!
10;10;10;Her zaman ki gibi muhteşem.
10;10;8;Patates fazla yağlıydı ama lezzet güzel.
10;10;10;Güzeldi.
10;10;10;Güzeldi.
10;10;10;11 olsa verirdim! Benim gibi ilk defa deneyenler için fotoğraf attım. Sırayla tortilla döner, tortilla falafel, m tacos. Hepsi tıka basa dolu, görünsün içi diye kestim ucunu. Baharat sevenler için baharat dengesi harika. Özellikle m tacos bu kadar büyükse lyi düşünemiyorum. Elinize sağlık. Nefisti!
3;3;1;Hem yavaşlar hem soğuk yemek yolluyorlar hemde eksik gönderiyorlar lezzetide bu ücretlere değmez.
9;9;9;Gayet iyi.
8;7;9;Hem uygun fiyatlı hem de lezzetli. Gayet iyi.
10;10;10;Siparişi verdikten on beş dakika sonra geldi, çok hızlı ve sıcacık geldi. Lezzeti de gayet iyidi. Tekrardan sipariş vereceğimize eminim. Yalnız, içerisine turşu seçeneği de ekleseniz çok güzel olur.
9;9;8;Öncelikle temazsız teslimat isaretlediğim için kapıya paketi asıp giden kuryeye teşekkürler. Tortilla ekmeğinde falafel siparişimdi, klasik falafel dürümlere farklı bir yorum katmışsınız beğendim. Onun dışında yemek sepetindeki menülere fotoğraf eklemelisiniz ki ne sipariş verdiğimizi bilelim :).
10;10;10;Yemek son derece hızlı geldi ve içi dolu doluydu. Lezzet olarak pariste yediğim dönerlere benzettim tadını :).
10;10;10;Olmeden onceki son istegimi sorsalar beni bu restorana goturun derim o derece bayildim artik yeni mekanimiz hayirli olsun.
7;1;2;Maalesef taco hayal kırıklığı.
10;10;6;Cok aci yazmasina ragmen aci degildi.
10;10;10;Harikaydı, yeni şeyler denemek isteyenlere tavsiye ederim. Yabancı lezzetlerin bizim damak tadımıza uyan hali. Andalouse sosu mutlaka öneririm.
8;10;10;Son zamanlarda yediğim sosuyla tadıyla en mükemmel şeydi umarım böyle devam ederler l tacos efsane.
5;5;5;İsminden ve puanından etkilenerek söyledim kötü değil ama fiyat ile beklediğim lezzet performansından çok uzak et döner bimin et dönerinden çok farkı yok panini sandviçi ise paniniden ziyade tavuklu normal bir sandviçe daha yakın kısaca fiyata ve puana bakıp aşırı bir şey beklemeyin.
10;10;10;Mükemmeldi...
10;9;8;Ekstra patates porsiyonu çok az ve aşırı pörsümüş geldi.
10;10;10;Mükemmel ötesi elinize sağlık meksikayı fransayıda ayağınıza getiriyorlsr.
10;10;10;Harikaydı, başarılar dilerim. Buralarda yeni bir lezzet. Ve soslar efsane.
10;10;10;25 tlyi dönere vermek ne kadar mantıklı bilmiyorum ama o kadar lezzetliydi ki başka bişey düşünmedim. D.
10;10;10;Ya adresiniz yok mu arkadaşıma ballandıra ballandıra anlattım canı çekti ama siz kapalısınız. Adresinizide bulamıyorum :(.
10;8;7;Kebapların hindi eti olduğunu belirtmekte fayda var.
10;10;10;Güzeldi. Ama ne yalan söyliym lezzetli bi tavuk dönere 2 katı ödemiş gibi hissetim.
10;1;1;Soslardan etin tadini alamadim soslardanmi bilmiyoruk midemde bozuldu.
10;10;10;Yemegin tadi gitmesin diye dislerimi fircalamiyorum.
10;10;10;Başarılı.
10;10;10;Yemek konusunda çok seçici biri olarak ilk denememe rağmen çok güzel ağzımda lezzet tat bıraktı. Bundan sonraki tek adresim.. Ayrıca telefon daki tatlı bayana da çok teşekkür ederim..
10;10;10;Yeni tatlar için mükelmel bir firsat ben cok begendim kesınikle tavsıye ederim peketler özenle hazrlanmişt ve kurye servisi hizli.
10;10;10;Ellerinize sağlık şefim, avcılara böyle bi lezzet, böyle bi tat gerçekten lazım dı keyifle yedim herkese tavsiye edebilirim. Gönül rahatlığla yemenizi tavsiye ederim.
10;10;10;Yeni yeriniz hayırlı olsun çok güzeldi.
10;10;10;Mukemmel otesi keske daha once kesfetseydim artk burdayim tskler.
10;10;10;Vaayyy canına harika ellerinize sağlık bundan sonra tek adresim.
10;10;10;Çok iyi elinize sağlık.
9;9;10;İlk kez ricotto margarita denedik, diğer pizzalar gibi tadı yine muhteşemdi. Servis konusunda bir öneri olarak baharatlar ve sosları pizza kutusunun içine koymayıp ayrı bir şekilde gönderebilirseniz daha hijyenik olabilir. Her zamanki gibi çok keyif alarak yedik, ayrıca kurye müslüme de teşekkürler.
10;10;10;Harika, lezzet olarak 8. 5ten fazlası olması gerekiyor.
10;10;10;Teşekkürler kurye vedat.
10;10;10;Pizzaniz cok başarılıydı ayrica kuryeniz mermiden daha hizli 10 saniyede 3 kat çikti :)).
10;10;10;Hem pizzaların lezzeti hemde kurye vedat beyin güler yüzünden dolayı devamlı sizden sipariş veriyoruz. Vedat reisin kıymetini bilin kral pizzanın kral kuryesi :).
10;10;10;Her şey yine çok güzeldi çok teşekkürler, ayrıca vedat beye nezaketi ve servisi içinde çok teşekkür ederim. Ellerinize sağlık.
10;10;10;Vedat beye çok teşekkürler, sipariş harikaydı.
10;10;10;Geceleri acıktığımızda tek adresimiz.
5;10;1;Abi tadı yok.
10;10;10;Hızlı, sıcak ve lezzetli. Favorim tavuklu bbq.
10;10;10;Her zamanki gibi lezzetli elinize sağlık böyle devam.
10;9;10;Arkadaşlar elinize sağlık güzel olmuş hamuru biraz inceltirseniz mükemmel olur malzeme bol koyuyorlar bu arada soslarimi unuttunuz alacağim olsun 1 puan ordan kırdım bu karlı havada geç saatte getirdiler lütfen motorcu arkadaşlar dikkat edin midemiz canınızdan önemli.
8;1;5;Pizzanın yarısı diğer yarısının üzerindeydi pek lezzetli değildi.
10;10;10;Zb de tek burgerde eskiden mükemmeldi artık kral pizzadaysa yer orası vedat teşekkürler.
10;10;10;Kurye vedata tesekkurler.
10;10;10;Çok güzel di hee zaman ki gibi.. Tadi lezzeti bir baska.
10;10;10;Ricotto margharita cok iyiydi, pesto sosunu eklemeye baslamaniza sevindim.
10;7;7;Vedat beye çok teşekkürler.
10;10;10;Vedat beye teşekkürler, her şey harikaydı, elinize sağlık.
10;10;10;Başarılı.
9;10;7;İs yoguugundan sanirim lezzetde bir kayip var.
7;5;7;Pek iyi değil.
10;10;10;Harika bir lezzet cok begendik size 10 10 10 hak ettiniz.
10;10;10;Damak tadınıza göre seçin. Muazzam.
10;10;10;Sıcak geldiler ve lezzetliydiler.
10;9;8;Fena değildi ancak, söylediğimiz pizzanın eti azdı. Not olarak daha fazla baharat rica etmiştik dikkate alınsaydı güzel olurdu.
10;10;10;Pizzanın sıcaklığından elim yandı. Malzemeler de bol. Daha ne olsun. Sakın bozmayın. Böyle devam...
9;10;10;Güzel.
10;10;10;İkram için teşekkür ederim her şey çok güzeldi.
10;10;9;Poğaçalar için çok teşekkür ederim.
10;10;10;Pasta harika, hizli servis.
10;10;10;Çok tazeydi, lezzeti harika! Ellerinize sağlık..
10;10;10;Harika.
10;3;10;Benim istediğim pasta görseli ile sizin göndermiş olduğunuz pastanın arasında baya bir fark var. Pastanın aciliyeti olmasaydı geri gönderim sağlayacaktım fakat yetişmesi gereken bir yer ve soğukta kapımıza gelen kuryenizi düşündüm. Lütfen madur etmeyin.
9;10;10;Kazandibi söylemiştim, olması gerektiği usülde yapılmış ve çok güzeldi.
6;8;4;Frambuazlı kup diye gönderdikleri frambuazlı cheesecake ve tadı da gerçekten iyi değildi. Sosu reçel gibi yapmışlar ve alttaki bisküvi de dökülüyordu. Ellerinde kalmamışsa arayabilirlerdi...
1;1;1;100 tl alti getirmedikleri icin 1 yas pasta ve 8 adet ekler siparim vardi pastayi fistikli istedim cikolata parcali geldi ekler gelmedi aradim halen gondericekler3 gun gecti ayip.
1;1;1;Hız konusunda 9 ortalaması var ama 2 saat 15 dakika da sipariş gönderdiler iptal etmeye çalıştığım halde.
10;10;10;Ekleri bombastikooo.
10;10;10;Hepsi çok lezzetli ve tazeydi, ellerinize sağlık. Ayrıca küçük ikramınız için de teşekkür ederim.
10;10;10;Pastalarınız her sipariş ettiğimizde muhteşem tazelikte. Hiç pişman etmiyorsunuz. Ayrıca kandil simidi ikramınız için de teşekkür ediyorum.
10;10;10;Soguk baklava guzeldi.
10;7;10;Pasta çok lezzetliydi fakat sipariş ettiğimizden farklı bir pasta geldi.
9;10;10;Bu karda kışta zamanında geldi cok lezzetliydi sütlaç ve pasta ayrıca hediye ikramınız için de teşekkürler, bereketli olsun kazancınız.
8;8;8;Eklerleri çok başarılı ama tiramisu için aynı şeyi ne yazık ki soyliyemeyeceğim.
10;10;10;Kardesimin dogum gunu icin buyuk bir pasta aldik. Inanilmaz lezzetli, taze, hayatimizda yedigimiz en iyi 5 pasta icindeydi. Yazdigimiz notlar goz onunde bulundurulmustu. Harikasiniz! Hep boyle devam edin! Kuryeleriniz cok guler yuzlu. Cok cok tesekkur ederiz!
10;10;10;Harika.
1;1;6;Çok geç geldi ve yanlış pasta geldi rezalet.
5;1;5;Profiterol ters dönmüş ve tamamen kutuya dökülmüştü.
8;10;10;Başarılı :).
10;10;8;Pastalar çok güzeldi ama daha az krem şantili olsa daha güzel olabilir. Benim görüşüm tabi ki bu.
