Yorum,Duygu
"Yaptığınız şeye tantuni demeyin bence, dürüm diyin, tavuk sote diyin, hatta sadece t diyin ama tantuni demeyin.. Yazıklar olsun aldığınız paraya...",Olumsuz
Mantı ve börek mükemmel.,Olumlu
Yanında hiç bişey yok roka bile ücretli.,Notr
Harikaaaaaa.,Olumlu
"Teşekkürler emine ana severek yiyoruz, fiyat lezzet kalite performansı mükemmel.",Olumlu
Başarılı kuryeyle teşekkürler.,Olumlu
Teşekkürler.,Olumlu
Yedegim en güzel tavuk yemeği makarnası da çok iyi barbekü soslu denemediyseniz tavsiye ederim.,Olumlu
Kurye çok ilgili ve hızlıydı çok teşekkür ederiz.,Olumlu
Çok tuzlu porsiyon küçük makarna lezzetli ama çok azzzzzzzzzz mantarlı kremalı tavuk ise zehir tuzzlu.,Olumlu
"Hiçbir isteğimizi geri çevirmediler, herşey bol boldu. Bonkör bir firma tebrik etmek gerekiyor.",Olumlu
1. 5saatda geldi 1 ve son siparişim.,Olumsuz
"Salata yerine makarna istedim domatese alerjim var diye, yapmadılar. Körideki tavuk yağın içinde yüzüyordu. Makarna ve salatası da olması gerekenden çok ama çok azdı. Tavuğu da çiğ ve biber malzemesi kötüydü.",Olumsuz
"Tavukları güzeldi, meksika ve köri soslu söyledik, yenilebilirdi ama makarnalar ise kupkuruydu, sos yokmuş gibi veya 3 gün öncenin makarnası gibi, arabiatada kocaman biberler ve jalepeno vardı başka malzeme yoktu. Hayatımda yediğim en kötü penne arabiata ve spagetti bolonez.",Notr
Hayatimda yedigim en tatsiz tutsuz kori soslu tavuktu. Ayni sey makarnaniz icin de gecerli. Asla parasini haketmiyor. Tavsiye etmiyorum bosa para.,Notr
Kurye arkadas cok kibardi ve zamaninda geldi ayagina saglik lezzet olarakta begendik tesekkurler.,Olumlu
Genel olarak iyi ama ekmeklerinizi değiştirmenizi öneririm.,Olumlu
İki menü iki ayran söylemiştik ayranın birini unutmuşlar sonra tekrardan ayranımızı getirdiler tesekkurler :) kurye kardeşimize 2 defa zahmet verdik emekçi hakkı için 10 puan veriyorum.,Olumlu
Şok marketin ayranını göndemisler cok yagliydi makarna tuzluydu soguktu hic begenemedik bi dahakine tercih etmeyecegiz.,Olumsuz
Gayet iyiydi teşekkürler.,Olumlu
Hızlı ve lezzetli.,Olumlu
Tesekkurler.,Notr
Menü sipariş ettim salata yokdu. Makarna koymuşsunuz. Ben öyle istemedim ki kafanıza göre yollamışsınız.,Notr
"Çok hızlı ve sıcak geldi. Tadı da çok iyiydi. Tek eksik diyebileceğim, salata sosu ve şekersiz kola olmaması.",Olumlu
Tuza dikkat.,Olumlu
Hocam telefonla aradığımızda ticket yok diyorsunuz burda ödeme seçeneklerinde ticket var :).,Notr
Siparişi vermem ile siparişin elime ulaşması arasında 13 dakika var ne ara o tavuk pisti ne ara servise çıktı hiç anlamadım ama keşke servislerindeki hız kadar lezzetleri de güzel olsaydı özellikle tavua biraz daha dikkat edilirse çok daha lezzetli olabileceğini inanıyorum.,Notr
Eh iste.,Olumlu
Yemekler çok lezzetli ekmekleri bile taze elinize sağlık herkese tavsiye ederim.,Olumlu
37 liralık bir tabaga gore o porsiyon cok az. Doyurmadi. Bi kasik makarna koymus bi kasik salatamsi bisey 4 kasik tavuk koymus gözüm doymadi ki karnim doysun.,Olumlu
1 saatten fazla sürdü gelmesi. Porsiyonlar doyurucu değil ama lezzet olarak güzel.,Notr
Çok az yemek ve kemikli çıktı doyurucu değil.,Olumsuz
Güzel.,Olumlu
Çok hızlı ve sıcak geldi lezzeti de çok iyi ellerinize sağlık.,Olumlu
Posiyonlar az ve işiniz tavuk ismin tavuk lezzetli olmasını beklerdim şaşirdim.,Olumlu
Gayet güzel ve hızlıydı...,Olumlu
Ortalama.,Olumlu
Herşey mükemmeldi.,Olumlu
Diğer kebaplara pek benzemiyor ama çok lezzetli.,Olumlu
"Her şey mükemmeldi. Ustanın eli baya lezzetli, denenmesi şiddetle tavsiye edilir.",Olumlu
Saat 17 civarında verdiğim siparişin kapıda kartbile ödeyeceğimi belirtmeme rağmen kendi post cihazlarında oluşan hatadan dolyı ücreti daha sonra alacaklarını belirtip gece yarısı saat 12 de gelip üst üstr zile basmaları hiçbir işletmeye yakışan bir durum değildir.,Olumsuz
"İlk günlerdeki gibi değil. Müşterisi arttıkça hız düştü, lezzet değişti. Artık sipariş vermeyeceğim.",Olumsuz
Ellerenize sağlık çok lezzetliydi.,Olumlu
Hatay dürüm yerine adana dürüm geldi fakat adana da güzeldi.,Olumlu
Çok beğeniyoruz valla niye puanı düşük anlamıyorum.,Olumlu
Muazzam alın kesinlikle.,Olumlu
Geçen gün aldığım hatay dürüm 14 99 bugün 24 99 bu nasıl oluyor.,Olumlu
Müthiş.,Olumlu
Yemeklerinizi çok beğeniyoruz ellerinize sağlık her siparişte birşeyler eksik geliyor karışık meze siparişi verdim soslu biber göndermişler geçendede cola eksikti.,Olumlu
90 tl sipariş verdik yanında sadece turşu göndermiş ler ekstra ürün de göndere bilir lerdi.,Olumlu
Sıfır hata.,Olumlu
Ben gereken lezzeti alamadım.,Olumsuz
Acıkmadan sipariş verin zaten gelene kadar muhtelemen acıkırsınız.,Notr
Lezzet arayanlar icin birebir ellerinize saglik cok guzeldi. Bu arada kanat uzgarayi tekrar menuye koyarsaniz iyi oluur :).,Olumlu
1 saat 15 dak da geldi. Lezzet fena değil ama servis daha iyi olabilir.,Olumsuz
Teslimatın hızlanması halinde alışveriş yapacağım tek restoran olacak. Lezzet şahane gelen tüm ürünlerin lezzeti harikaydı ancak maalesef çok geç geldi siparişler (1. 5 saatte). Umarım teslimat hızlanır ellerinize sağlık lezzet olarak en iyisiydi.,Olumlu
"Hakettiginden az puana sahip, çok lezzetli ve sıcak geldi siparişler.",Olumlu
Hızli ve muazzam güzel bir tadı vardı. Elinize sağlık.,Olumlu
"Setcard getirmediler, posla ödemeyi yapamadık. 3 gündür sanki kaçacakmışım gibi telefonla abi ödemeyi ne zaman alabiliriz diye aranıyorum. Son kez sipariş verip ödemeyi yapacağım ve bir daha asla sipariş vermeyeceğim.",Olumsuz
"Son zamanlardaki en çok tercih ettiğim, bence en iyi restoran.",Olumlu
Çok özensiz servis yapıldı. Not olarak eklememe rağmen lavaşı yanık bir şekilde geldi. Tadı çok hoş değil aynı paraya daha iyi yerler var. Tavsiye etmem.,Olumsuz
Sakın siperiş vermeyin ben sipariş verdim hiç memnun kalmadım pişman olmak istemiyorsanız sipriş vermeyin.,Olumsuz
Çok geç geldi. Ürün soğumuştu. Tavsiye etmem.,Olumsuz
Cok güzeldi cok memenun kaldım hayatımda yedigim en iyi çig köfte diye bilrim getiren kurye arakdaşda adını sormayı unuttum amam cok yakısıklıydı asık oldum galiba bi dakıne adını soracam :).,Olumlu
Ey işte.,Olumlu
Lezzet bol malzemeli çiğ köftenin adresi.. Turgut ustam ve ekibi hayırlı işleriniz olsun.. Motor kurye volkan zamanlaması hizmeti eksiksiz kaliteli..,Olumlu
İyi iyi iyi.,Olumlu
"Hızlıydı, lezzetliydi.",Olumlu
"Ellerinize sağlık, çiğ köfte çok lezzetliydi, çabucak siparişimiz geldi. Kurye arkadaşımızda gayet güler yüzlüydü. Amma ve lakin keşke limonda koysaydınız. Neyse nazarlık olsun.",Olumlu
İnanılmaz bir lezzet mutlaka deneyimleyin.,Olumlu
Turgut ustadan daha iyi bu işi yapan yok diger ciğ köfte yapıyorum diye gecinin ler örnek alsın.,Olumlu
Ellerinize sağlık ustam çok güzeldi.,Olumlu
Tek kelimeyle mükemmel.,Olumlu
Güzeldi ama salça tadi geldi çok.,Olumlu
Adamın dipleri.,Olumlu
Getiren arkadaş oldukça beyfendi.. Kendisine teşekkür ediyorum.,Olumlu
"Turgut abi bozmuş çiğköfteyi baharat tadından yiyemedim, üzüldüm açıkçası çok güzel çiğköftesi vardı.",Olumsuz
Kalite ve hizmetten memnun kaldım.,Olumlu
İlk siparisimdi ama sondu da yani hani resmen bidaha sipariş vermeyelim diye göndermiş abimiz o dürümü içi bomboş sadece marul çiğköfte sarıp göndermiş ustam sen nar ekşisiz acısız tursusuz rokasiz dürüm nerde gördün allah için?,Olumsuz
Hayatımda yediğim en kötü çiğköfte sadece adı çiğköfte sattıkları ürünün tadının çiğköfteyle alakası yok yorumlarda okudum ustanız 22 yıldır ustaymış bence soyleyin baska mesleklere yonelsin canınız çiğköfte cektiğinde gidip bi kaşık çiğ bulgur yiyin onun tadı daha cok çiğköfteye benziyor.,Olumsuz
Özenle hazırlanmış.. Gayet lezzetli.. Getiren arkadaşa teşekkürlerimi sunuyorum.,Olumlu
Kötü.,Olumsuz
Uzun zamandır yediğim en iyilerdendi. Tadı ve kıvamı muazzam. Hızlı ve güleryüzlü kuryeye de ayrıca teşekkürler.,Olumlu
Kuryeniz güler yüzlüydü lezzet de güzel.,Olumlu
Kurye yalçın beye teşekkürler. Soğuk günlerde allah yardımcınız olsun. Yeşillikler taze değil gibiydi ondan puan kırdım.,Olumlu
İlk defa yedik tazecik mis gibiydi ellerine sağlık ustam.,Olumlu
Herzamanki gbi mükemmel el arabasındayken sıra bekleyenler kötü yorum yapıyor şimdide hakkını yemeyin yılların çiğ köftecisi ellerine sağlık usta.,Olumlu
Çiğköfte budur.,Olumlu
Lezzet harikası bir yer.,Olumlu
Herkeze siddetle tavsıye ediyorum hayatımda yedigim en iyi çiğ köfte.,Olumlu
Tadı tuzu yok.,Olumsuz
Yıllardır lezzetle yediğim en güzel çiğ köfte ellerine sağlık.,Olumlu
Tadi gerçekten berbatti yemeden attik.,Olumsuz
Yediğim en berbat kumpir di insan utanır getirirken.,Olumsuz
İndirim. Sayesinde doya doya yedik tesekkurler.,Olumlu
"Restoran puanı düşüklüğünden spariş verirken teredüt etmiştim. Ama puanının daha fazlasını hakkettiğini düşünüyorum, waffle çok lezzetli idi şiddetle tavsiye ederim,.",Olumlu
"Her şey çok güzel di ellerinize emeğinize sağlık kumpir waffle da çok sıcak geldi.. ,.",Olumlu
Sparişim sıcak ve çok hızlı geldi. Kumpirim tam istediğim gibi hazırlanmıştı teşekürler...,Olumlu
Soguk geldi ama iyi.,Olumlu
Lezzetli secim.,Olumlu
"Şu zor günlerde kalitesi lezzetiyle hızli servisiyle sıcacık kumpir, harika waffle ile bizleri buluşturduğunuz için çok teşekkürler.",Olumlu
Ne istemediysem koyulmuş ne istediysem koyulmamış. İşletme işletmeyi bilmiyorsanız kapatın dükkanı. Yapılması gereken waffle listesine tik atılan malzemeleri koymak ne kadar zor olabilirki... Bende oraya yazmışım bebek uyuyor zile basmayın diye daha satılan şeyi okumuyorlar not nasıl okunsunlar...,Olumsuz
"Ömrümde bu kadar büyük ve bol malzemeli kumpir yemedim :)) elinize sağlık, teşekkürler.",Olumlu
Waffle çok berbat bir şekilde teslim edildi. Özensiz nir şekilde paketlenmişti. Biraz daha özenle çalışmanızı ve paketleminizi öneririm! Yediğim waffleden hiçbirşey anlamadım!,Olumsuz
Önce göz sonra karın doyuruyor. Özellikle kadın çalışan görmek ve çözüm odaklı olmaları harika!,Olumlu
Kumpir çok kötüydü midemi bozdu.,Olumsuz
Gercektende bol malzemeli ve lezzetliydi. Tesekkurler.,Olumlu
Waffle son zamanlarda yediğim en iyi hamur lezzetine sahipti. Cikolatasi baymiyordu tam kararinda idi. Meyveler ve kuruyemisler oldukça tazeydi. Kurye hanimefendi cok kibardi ve hizli geldi. Bir sonraki siparisimde kumpirinizi de deneyecegim. Tebrikler.,Olumlu
Kumpirin tadinda ciddi bi sikinti var inanilmaz ac olmama ragmen bitiremedim uzulerek 3 puan.,Olumlu
Restoran puanının düşüklüğünden dolayı sipariş vermekte tereddüt etmiştim fakat kumpir siparişim geç saatte söylememe rağmen çok hızlı ve güzel geldi.,Olumlu
Berbat rezalet sakın sipariş vermeyin boş ekmek yedim içinde çikolata bile yoktu yazıklar olsun ayıp.,Olumsuz
"1 saate kumpir yanlış geldi, soğuk geldi, tekrar gönderdiler o da 1, 5 saatte geldi, sonradan gelen kumpir sıcak ve lezzetliydi.",Olumsuz
Ben işinizi hakkıyla yaptığınızı düşünmüyorum. Kumpirler baştan sağma atılmıştı patatesler taze değildi.,Olumsuz
Puanları abartmıyorum ömrümde bu kadar kötü bir waffle yemedim ürünler taze değildi soğuk buz gibi geldi koyduğunuz kartona yapışmıştı ürünler ve yaklaşık 3 dk yol oldu 1 saat 20 dakika ben 15 senedir bu platform u kullanıyorum ve yemeksepetinden yediğim en kötü waffle dı önermiyorum kesinliklee...,Olumsuz
Teşekkürler.,Olumlu
Sipariş aşırı hızlı geldi getiren ablamızda çok kibar ve güleryüzlüydü bütün iyi niyetini damarlarıma kadar hissettim :) waffle ise hayatımda yediğim en lezzetli waffledı çok teşekkür ediyorum.,Olumlu
Patates kurumuştu ve ekstra peynir istememe rağmen yerken peyniri hissetmedim bile.,Notr
Herşey mükemmeldi elinize emeğinize sağlık.,Olumlu
Pos cihazını getirmedi ve ödeme yapamadım bu yüzden.,Olumlu
Güzeldi hızlı teslimat ama soğuktu yine de tavsiye ederim.,Olumlu
Kurye güler yüzlü ve hızlı geldu.,Olumlu
Servis hariç iyiydi.,Olumlu
Fena değil. Kebap aşırı tuzluydu.,Olumlu
İçindekiler azdı kuruydu lavaşi begenmedim.,Notr
Güzel.,Olumlu
Helal oldun size çok beğendim sizi terçi eteçegim.,Olumlu
Sozumu tuttum. Hakettiniz.,Olumlu
Soğuk geldi. Pideler çok tuzlu.. Fazla pişmiş kurumuş. Çok tatsız. Dürümler tadı güzel ama soğuktu. Çok tuz koymayın. Tansiyon hastaları yiyemiyor.,Notr
Zayıf.,Olumsuz
Adan dürümler hiç pişmemiş kuru ve yavandı dürüm söyleyen arkadaşlarımla yarısını atmak durumunda kaldık yiyemedik.,Olumsuz
Siparis verdigim menude bir litre icecek yaziyor ama sadece 33lük icecekleri sectiriyor. Asla menude yazan seyler tam gelmiyor.,Olumsuz
Lavaş servisi için teşekkürler.,Olumlu
Çok geç geldi haliyle biraz soğuduğu için pek lezzet alamadım.,Notr
Pideler aşiri aciliydi yiyemedi çocuklar. Karisik kebapta yazdiklari patlican kebabi ve ciğer şışten eser yoktu koyulmamiş.,Notr
Çiğ köfte koyulmamış lahmacun kokuyordu...,Olumsuz
"1-2 ay önce herkese önerip eve gelen misafirlerime başka yerden yemek soylemiyordum, eskisi gibi değil. 2 tane kebapçiğ köfte menüsü sipariş verdik ikisinde de çiğ köfte gelmedi. Kontrol edip kuryeye de soyledik zaten yok diye.",Notr
Emeğe saygım sonsuz ama hem 1 saatte getirip hem de sem sert lezzetsiz kebap getirilmesi kabul edilemez. Yediğim en kötü adana diyebilirim.,Olumsuz
Çiğ köfte gelmedi. Siparişi tam getiremeyecekseniz neden satış yapıyor sunuz?,Olumsuz
"Çok hızlı geldi, günün çorbasına bayıldım çok lezzetli idi ve fındık lahmacun da gayet lezizdi teşekkürler.",Olumlu
Süper.,Olumlu
Künefe iyi değil.,Olumsuz
1 saat 15 dakikada geldi maalesef.,Olumsuz
İndirimde olduğu için sipariş vermiştim ama yanılmışım gerçektende pahalı olsa bile alınabilecek tantununin güzeliydi teşekkürler.,Olumlu
Lezzet gerçekten güzel kurye de iyi hızlı geldi ikram için teşekkürler tavsiye ederim.,Olumlu
Cok güzel.,Olumlu
2 adet 6 lı lahmacun menü aldık menünün içerisinde bulunan iki adet içecek yerine bir adet içecek getirildi.,Notr
Hersey guzeldi ikramlar lezzetler cok guzel tatlisina kadar düsünülmüş.. Ama karisik kebapta bahsedilen patlıcan köz yoktu içerikte yazmasina rağnen... Var diye bekledik ama çikmadi birde beytide hiç sos yoktu sade sarilip yollanmiş salça domstes sos v. S yok bunlar da halledilirse tekrar siparişolur.,Olumlu
Açık ara yediğim en lezzetli beyti kebaptı. Yeni efsanem olur da bozana kadar net burasıdır.,Olumlu
Künefe kötü değişim yapmadılar.,Olumsuz
Tavsiye ederim.,Olumlu
Herşey çok güzel ve lezzetli idi teşekkürler.,Olumlu
Siparişim hızlı geldi ve sıcaktı da teşekkür ederim.,Olumlu
Çok güzeldi.,Olumlu
Yemekler güzeldi hız idare eder sunum ise kotü.,Olumlu
Tatlı ikramı için ayrıca teşekkür ederiz.,Olumlu
Yaramaz çok saçma bi pilav.,Olumsuz
Hızlı servis harika lezzett.,Olumlu
Çevirme çok ama çok pişmişti. Nohutlu pilav istemistim ama tavuklu pilav geldi.,Olumlu
İyi.,Olumlu
Pilvda nohut yoktu.,Olumlu
İlk defa bu kadar özensiz geldi ekstra tavuklu dedim plavda neredeyse tavuk yoktu.,Notr
İyi.,Olumlu
Salataya ekstra ücret ödememe rağmen pilava eklenmemesi kötü bir durumdu.,Olumlu
Pilav tamı tamına 1 saatte geldi. Geldi zaman tavuğu taş gibi olmuş ve pilavida oldukça soğuktu. Lezzete 2 vermemin nedeni sadece çalışanların emek vermesinden dolayıdır. Tavsiye etmiyorum kesinlikle.,Olumsuz
"Hızlı, hijyenik ve lezzetli bir deneyim oldu elinize sağlık.",Olumlu
Çorbasi bile kötüydü.,Olumsuz
Çok lezzetli ve servisi paketlemesi süper.,Olumlu
Ucuz ve güzel ikram güzeldi.,Olumlu
Lezzet sıfır hizmet sıfır servis sıfır.,Olumsuz
İkram için teşekkür ederim.,Olumlu
Nazik tatlı ikramınız için teşekkür ederim.,Olumlu
Çok hızlı geldi am keşke hızlı oldugu kdar sipariş de tam olsaydı. Kaşık çatal yoktu.,Olumlu
"Servisene hızına bir şey demiyorum ama mercimek çorbasında hiçbir tat yoktu. Bildiğiniz su, pilav çok sert pişmemiş, nohutlu tavuklu pilav istedik. Nohut hiç yoktu. Tavuk azdı. Neyse bir daha sipariş vericeğimi sanmıyorum. Yine de iyi çalışmalar.",Notr
Salata söylemiştim ek ücret ödeyerek ama gönderilmedi.,Notr
Kurufasulye söyledim tavuk sote geldi değişim talep ettim muhattap olan olmadı telefonla aradım açan yok gene pilav için teşekkür ediyorum makarnada gelebilirdi...,Olumsuz
Ayni mahallede oldugum halde 1 saate yakin surdu gelmesi.,Notr
Tavuk soğuk geldi biraz hava çok soğuk ve mesafe var biraz ama ilginç kısmı içi soğuk dışı ılıktı. Sanki ısıtılmış gibi geldi bana. Pilav geldiğinde ılıktı tadı da güzeldi ama soğudukça katı margarin yiyormuş gibi geldi tadı. Bitirmek pek mümkün değildi.,Olumlu
Lezzeti çok güzeldi ikram içinde teşekkürler.,Olumlu
Allah sizden razı olsun çok teşekkür ederim.,Olumlu
"Hız, lezzet mükemmeldi. Ellerinize sağlık.",Olumlu
"Çok geç geldi, soğuktu ve pirinçler biraz diri kalmıştı.",Notr
İkram için teşekkür ederiz kurye arkadaşa da teşekkür ederiz bu hava şartlarında bile hızlı geldi.,Olumlu
Lahmacunlar çok güzeldi ama çok geç geldi.,Olumlu
İçli köftenin tadı çok şekerli gibiydi.,Olumlu
Her söylediğimizde sıcacık ve bol bol malzeme ikramlarla gönderiyor iyi ki varsınız ilk defa puan vermek geldi aklımıza teşekkürler :).,Olumlu
"Gayet lezzetli ve güzel bir yemekti, kurye de nazik ve ilgiliydi. Teşekkürler.",Olumlu
"Servislerde kaşıklar kırık. Pirzola yanmış ve küçüktü, notum okunmamış. 1kg pirzola yanında ki salata küçük 2 kaşıklık. Bu son siparişimdi, ayni fiyata başka yerden söyleyebileceğimizi unutuyorsunuz! Önermiyorum artık kimseye çünkü bozdunuz.",Notr
1 kilo tavuk pirzola söyledim çok iyiydi. Bayıldım. İkramlarınız için teşekkürler.,Olumlu
"Her zamanki gibi temiz, lezzetli ve hızlı.",Olumlu
Bu uygulamadan verdiğim en iyi siparisti. Çorbanın son kaşığında bile hala sıcacıktı. Ellerine sağlık ustam.,Olumlu
Beyti sarma çok kuruydu.,Notr
Muhteşem lezzetiyle damak tadımiza uygun emeginiz için teşekkür ederim siparişler hızlı geldi sürekli sipariş veriyorum.,Olumlu
Kolay gelsin.,Olumlu
İkram tulumba tatlısı vardı vayss.,Olumlu
Gerçekten ilk defa bu şekilde karşılaşıyorum yemek lezzetli bulgur pilavı yok denilecek kadar azdı ekmeğin tuhaf bir kokusu vardı kurye arkadaş da tüm herşeyi sallayarak getirmiş yemek yemeklikten çıkmıştı. Sürekli sipariş verdiğiniz restoranda böyle şeylerle karşılaşmak üzücü.,Notr
Lezzetli.,Olumlu
"500 gr adana kebap söyledik, biraz beklentimiz altında kaldı damak tadımıza uymadı.",Olumlu
"1 kg pirzola gayet güzel fiyatta iyi, memnun kaldım. Gayet başarılı. Fiyat biraz daha aşağı çekilirse daha iyi olabilir.",Olumlu
Ekmekler bayatı.,Olumsuz
Mmmmm.,Olumlu
Soğuk geldi geç geldi plastik çatal kaşık peçete yoktu kesinlikle önermiyorum.,Olumsuz
Böyle kötü kokan kavurmalı pide yemedim. İnek möluyodu yav resmen. Sucuk da alt kaliteydi ve pide çook yağlıydı..,Notr
Verdigim paraya acıdığım tek yemekti cok yazik iptal ettigim halde 70dakika da buz gibi ve de pismemis bi pide ve urfayla karsilastim cok yazik gercekten.,Olumsuz
Yağmurlu havada hızlı ve güzel geldi ellerinize sağlık kurye arkadasada çok teşekkürler bu puani haketmiyirsunuz daha yüksek olmalı puan isteyin müşterilerden hayırlı işler kolay gelsin elinize saglik.,Olumlu
Maalesef soğuk ve donmuş olarak geldi.,Notr
Gerçekten ilk başta tereddüt etmiştim daha önceden sipariş vermediğim için fakat bir kere sipariş verdikten sonra artık tamamen bu restorandan sipariş vermeye başladım gerçekten çok lezzetli ve hızlı geliyor.,Olumlu
Ette tarçın tadı vardı. Kokmuş ete tarçın döküp kebap yapmışlar.,Notr
Pide hiç lezzetli değildi tatsız tuzsuzdu.,Notr
Beyti sarmanın içine bildiğiniz urfa koymuşlardı. Beğenmedim.,Olumlu
Yağı fazla hamuru da kuru geldı.,Olumlu
Künefe aldım cok kücük ve serbetliydi hazır künefeye serbet koymuslar sanırım ve gelene kadar sogumustu.,Notr
Hiz ve lezzet gercekten iyi. Paletleme cok basarili. Nerdeyse kaynar bir sicaklikta geldi. Tebrik ederim. Etli nohuta bir miktar daha et koymak gerekiyor.,Olumlu
Çok hızlı geldi gayet lezzetliydi.,Olumlu
Yemekler lezzetli ve yağı rahatsız etmiyor. Ancak inanılmaz yavaş ve soğuk geldi. Paketleri açmak da eziyetli oluyor. Birkaç kere daha sipariş veririm midemi rahatsız etmediği için.,Notr
Dışardan sipariş ettiğim en lezzetli ev yemeğiydi. Restoranın adı gurme olunca brokoli çorbası inşallah saçma sapan diyet bir çorba olmaz dedim ve olmadı da lazanyada muazzamdı. Yapanın eline sağlık.,Olumlu
Fiyat lezzet performansı çok düşük.,Notr
Hız konusunda biraz daha iyi olabilirse sorun yok.,Olumlu
Siparisim bekledigimden cok hizli geldi yemekler lezzetliydi motorcu gayet kibardi sahsen cok begendim.,Olumlu
Lazanya soyledim. Kıymalı su boregi gibi birsey geldi.,Notr
Yağ icinde yüzen berbat bir yemekti.,Notr
"Hiçbir siparişim bu kadar sıcak teslim edilmemişti, lezzet zaten aynı :).",Olumlu
Teşekkürler güzeldi.,Olumlu
İlk defa denedim güzeldi.,Olumlu
Yemek kaplarının üzerine ısıyla yapıstırılmıs naylon çıkmıyor! Kesinlikle çıkmıyor. Servis deneyimi çok kötüydü. Ama yemekler lezzetliydi.,Olumlu
Begenmedim.,Olumsuz
"Fırın makarnanız efsaneydi, keşke porsiyonlarımız azıcık daha büyük olsa. Ellerinize sağlık :).",Olumlu
"Sorun lezzette değil, fırın makarna porisyonunun avuç içi kadar bile olmamasında :(((.",Notr
"Servis kapları yemeklere uygun değil, özellikle çorba için. Yemeker de lezzetsiz ve porsiyonu çok az. Hazır, banabi de satılan yemekleri alıp satıyor gibi. Mücver omlet gibi, çorbasının tadı tuzu yağı yok, tavuk kayış gibi... Bir daha asla sipariş vermem.. !",Notr
İkram için teşekkürler her şey çok lezzetliydi.,Olumlu
Çok hızlı ve lezzetliydi. Elinize sağlık.,Olumlu
"Çok iyi, ellerinize sağlık.",Olumlu
Hızlı ve lezzetli yemekler.,Olumlu
Bu bölgede yediğim en iyi çiğ köftelerden bir tanesiydi gayet son dakikalar ve yasaklar olmasına rağmen hızlı geldi teşekkürler.,Olumlu
Restoranla aramda motorla 5 dklık mesafe olmasına rağmen 23:02 de vermiş olduğum sipariş saat 01:00 olmasına rağmen gelmedi bir bilgide geçilmedi telefonlarını bile açma zahmetinde bulunmadılar hem yasakta mağdur edildim hem de açta kaldık! Bir bilgi geçin ya da iptal edin! İndirim var diye ayıp be!,Olumsuz
Elinize sağlık.,Olumlu
Avcılığı ve tadı yerindeydi ama sanki biraz sulu gibiydi bilemedim. Yine de biz beğendik ellerinize sağlık.,Olumlu
67 dk çok kötü geldi.,Olumsuz
İyi.,Olumlu
"Çiğköfte çok cıvık, damağa dişlere yapışıyor içinde bir şeyler eksik ya da fazla.",Olumlu
Kurye kardeş hakkını helal etsin.,Olumlu
Çok soğuk ve lezzetsizdi tavsiye etmiyorum.,Notr
Paketleme güzeldi ve kurye güleryüzlüydü hızlı teslim edildi siparişim.,Olumlu
Hızlı ama servis rezil poşete dökülmüş domates limon marul hepsi turşu kokmuş çiğköfte de domates olmaz köftenin tadını bozar ve sulandırır her önüne gelen çiğköfte dükkanı açarsa durum böyle olur.,Notr
Çok hızlıydı ve lezzetli teşekkürler.,Olumlu
Çok hızlı geldi. Aynı zamanda çok özenli paketlenmiş. Gayet lezzetliydi. Elinize sağlık :).,Olumlu
Gerçekten lezzeti cok güzel kuryeleri de güler yüzlü ellerine sağlık.,Olumlu
Hizmet kalitesi süper lezzet olarak bu civardaki çoğu yerden daha iyi tavsiye ederim elinize sağlık.,Olumlu
Güzel servis lezzet güzel tavsiye ederim.,Olumlu
Hızlı lezzetliydi ama ufak bir not karadenizli olaraktr abzon pidesinin tam ortasına güzel bir yumurta kırılması süper olur orjinalinde oluyor...,Olumlu
Harika lezzetli bayıldım.,Olumlu
Nice.,Olumlu
Hız ve servisi iyiydi. Siparişimi notumu dikkate alıp getirmişlerdi. Sadece biraz daha pişmesini isterdim. İyi çalışmalar dilerim...,Olumlu
Hızlıydı.,Olumlu
Nays.,Olumlu
Çiğ köfte harika.,Olumlu
Ellerinize sağlık.,Olumlu
"Duble ciger durumun tanesi 33 tl cok daha iyi bir ciger bekliyordum ama standart normaldi. Antep lahmacun iyi degil et kuzu eti degil harcinin icinde yesillik hic yok antep lahmacunu bu degil, ancak icli kofteleri gercekten basariliydi.",Olumlu
Servis tat lezzet doyurucu hepsi bir arada harikasiniz.,Olumlu
Guzeldi.,Olumlu
Muhteşem.,Olumlu
Çıtır ve ekmek gibi olmayan pideleri seviyorum. Kış günü çıtır pide beklemiyordum ama pidesi aşşırı kalındı.,Olumlu
Tam 1. 30 saat sürdü gelmesi gidip alsam bu kadar sürmezdi ayrıca geldiğinde de her şey buz gibi olmuştu.,Olumsuz
"Katmer büyük/küçük farkı yok küçük sipariş verebilirsiniz. Zira büyük ödemesine küçük teslim edildi. Tat ve gönderilen ikramlar olarak da her gün farklı davranılıyor anladığım kadarıyla. En son siparişimde puanlamaya 10 10 10 vermiştim halbuki çok erken davranmışım, bir daha sipariş vermeyeceğim!",Notr
Fiyatına göre kanatlar güzel pişmiş sadece salata çok az alt tarafı salata biraz fazla olsa iyi olur onu dışında başarılı.,Olumlu
Kelle paça çorbası ve lahmacun söylemiştim. Kelle paça çorbası bence asla kelle paça gibi değildi lezzette bi eksiklik vardı ama ne olduğunu çözemedim ama antep lahmacun güzeldi.,Olumlu
Ellerinize sağlık.,Olumlu
Kesinlikle aldığı paranın hakkını veriyor. Herkese tavsiye ederim.,Olumlu
Teşekkürler.,Olumlu
Lahmacun tam bir efsaneydi... Künefe ciddi kötü.,Olumlu
